State,Year,State_Year,Percent_Allocation
HAWAII,2008,HAWAII 2008,0.000980376
HAWAII,2009,HAWAII 2009,0.000991543
HAWAII,2010,HAWAII 2010,0.001500837
HAWAII,2011,HAWAII 2011,0.001495314
HAWAII,2012,HAWAII 2012,0.002048765
HAWAII,2013,HAWAII 2013,0.001851936
HAWAII,2014,HAWAII 2014,0.002297797
HAWAII,2015,HAWAII 2015,0.002194086
HAWAII,2016,HAWAII 2016,0.001964894
HAWAII,2017,HAWAII 2017,0.001684739
HAWAII,2018,HAWAII 2018,0.00148586
HAWAII,2019,HAWAII 2019,0.001480244
IDAHO,2006,IDAHO 2006,0.00329856
IDAHO,2007,IDAHO 2007,0.003859041
IDAHO,2008,IDAHO 2008,0.003559379
IDAHO,2009,IDAHO 2009,0.003309199
IDAHO,2010,IDAHO 2010,0.003958592
IDAHO,2011,IDAHO 2011,0.003493122
IDAHO,2012,IDAHO 2012,0.003348727
IDAHO,2013,IDAHO 2013,0.003394536
IDAHO,2014,IDAHO 2014,0.003710714
IDAHO,2015,IDAHO 2015,0.003636383
IDAHO,2016,IDAHO 2016,0.003867833
IDAHO,2017,IDAHO 2017,0.003510203
IDAHO,2018,IDAHO 2018,0.003434689
IDAHO,2019,IDAHO 2019,0.003617895
ILLINOIS,2006,ILLINOIS 2006,0.059595454
ILLINOIS,2007,ILLINOIS 2007,0.047957763
ILLINOIS,2008,ILLINOIS 2008,0.049497399
ILLINOIS,2009,ILLINOIS 2009,0.049983896
ILLINOIS,2010,ILLINOIS 2010,0.048428865
ILLINOIS,2011,ILLINOIS 2011,0.050137809
ILLINOIS,2012,ILLINOIS 2012,0.052430204
ILLINOIS,2013,ILLINOIS 2013,0.046547572
ILLINOIS,2014,ILLINOIS 2014,0.045100466
ILLINOIS,2015,ILLINOIS 2015,0.040752923
ILLINOIS,2016,ILLINOIS 2016,0.042445115
ILLINOIS,2017,ILLINOIS 2017,0.04465936
ILLINOIS,2018,ILLINOIS 2018,0.041282297
ILLINOIS,2019,ILLINOIS 2019,0.043611067
INDIANA,2006,INDIANA 2006,0.022042783
INDIANA,2007,INDIANA 2007,0.022091232
INDIANA,2008,INDIANA 2008,0.021185436
INDIANA,2009,INDIANA 2009,0.02127754
INDIANA,2010,INDIANA 2010,0.021470442
INDIANA,2011,INDIANA 2011,0.02080388
INDIANA,2012,INDIANA 2012,0.022091504
INDIANA,2013,INDIANA 2013,0.018142293
INDIANA,2014,INDIANA 2014,0.019335367
INDIANA,2015,INDIANA 2015,0.017123578
INDIANA,2016,INDIANA 2016,0.0179186
INDIANA,2017,INDIANA 2017,0.017950942
INDIANA,2018,INDIANA 2018,0.017899538
INDIANA,2019,INDIANA 2019,0.017864594
IOWA,2006,IOWA 2006,0.011998329
IOWA,2007,IOWA 2007,0.010852444
IOWA,2008,IOWA 2008,0.010590247
IOWA,2009,IOWA 2009,0.010638886
IOWA,2010,IOWA 2010,0.010279461
IOWA,2011,IOWA 2011,0.010994157
IOWA,2012,IOWA 2012,0.010802941
IOWA,2013,IOWA 2013,0.010010827
IOWA,2014,IOWA 2014,0.010650204
IOWA,2015,IOWA 2015,0.010045696
IOWA,2016,IOWA 2016,0.01053901
IOWA,2017,IOWA 2017,0.011111465
IOWA,2018,IOWA 2018,0.010030984
IOWA,2019,IOWA 2019,0.009775131
KANSAS,2006,KANSAS 2006,0.010941904
KANSAS,2007,KANSAS 2007,0.011051658
KANSAS,2008,KANSAS 2008,0.011020535
KANSAS,2009,KANSAS 2009,0.01106172
KANSAS,2010,KANSAS 2010,0.00978371
KANSAS,2011,KANSAS 2011,0.009931797
KANSAS,2012,KANSAS 2012,0.009669315
KANSAS,2013,KANSAS 2013,0.010015058
KANSAS,2014,KANSAS 2014,0.00944562
KANSAS,2015,KANSAS 2015,0.009320644
KANSAS,2016,KANSAS 2016,0.009824229
KANSAS,2017,KANSAS 2017,0.010445471
KANSAS,2018,KANSAS 2018,0.01048145
KANSAS,2019,KANSAS 2019,0.010534771
KENTUCKY,2006,KENTUCKY 2006,0.018107086
KENTUCKY,2007,KENTUCKY 2007,0.01688127
KENTUCKY,2008,KENTUCKY 2008,0.016232992
KENTUCKY,2009,KENTUCKY 2009,0.016208234
KENTUCKY,2010,KENTUCKY 2010,0.012433404
KENTUCKY,2011,KENTUCKY 2011,0.012556674
KENTUCKY,2012,KENTUCKY 2012,0.013436055
KENTUCKY,2013,KENTUCKY 2013,0.013292194
KENTUCKY,2014,KENTUCKY 2014,0.014568358
KENTUCKY,2015,KENTUCKY 2015,0.013184325
KENTUCKY,2016,KENTUCKY 2016,0.013945259
KENTUCKY,2017,KENTUCKY 2017,0.014623382
KENTUCKY,2018,KENTUCKY 2018,0.015116737
KENTUCKY,2019,KENTUCKY 2019,0.015464692
LOUISIANA,2006,LOUISIANA 2006,0.01679498
LOUISIANA,2007,LOUISIANA 2007,0.017040505
LOUISIANA,2008,LOUISIANA 2008,0.015006069
LOUISIANA,2009,LOUISIANA 2009,0.015138409
LOUISIANA,2010,LOUISIANA 2010,0.013243725
LOUISIANA,2011,LOUISIANA 2011,0.013647818
LOUISIANA,2012,LOUISIANA 2012,0.014139961
LOUISIANA,2013,LOUISIANA 2013,0.013776493
LOUISIANA,2014,LOUISIANA 2014,0.01386822
LOUISIANA,2015,LOUISIANA 2015,0.01236083
LOUISIANA,2016,LOUISIANA 2016,0.013940802
LOUISIANA,2017,LOUISIANA 2017,0.013966437
LOUISIANA,2018,LOUISIANA 2018,0.014901851
LOUISIANA,2019,LOUISIANA 2019,0.015873445
MAINE,2006,MAINE 2006,0.009285526
MAINE,2007,MAINE 2007,0.00721601
MAINE,2008,MAINE 2008,0.009886465
MAINE,2009,MAINE 2009,0.009083319
MAINE,2010,MAINE 2010,0.011265762
