Fiscal Year,Grantee,State,Total Program Funding,Income Eligible Fed,Income Eligible State,CLRCB,CLRCV,DFRCB,DFRCV,ESRCB,ESRCV,HLRCB,HLRCV,KSRCB,KSRCV,NGRCB,NGRCV,PARCB,PARCV,PQRCB,PQRCV,TERCB,TERCV
2015,South Dakota,SD,18668801,91481,85003,0,0,475,8.3,15597,506.5,3929,54.5,2,0,12383,97.5,4406,62.8,3929,54.5,66496,672.3
2015,Tennessee,TN,55220609,762148,676730,0,0,294,5.3,142169,4291.9,6427,137,162,2.8,69704,647.5,6883,145.1,6427,137,535307,5109.6
2015,Texas,TX,117815266,2628679,1784090,0,0,9,0.2,496964,16838.4,19076,467.2,7,0.1,218847,2249.1,19092,467.5,19076,467.2,1689589,19564.2
2015,Utah,UT,25828347,210535,171574,0,0,128,1.9,31108,992.3,1516,32.7,1,0,61290,569.2,1645,34.6,1516,32.7,158733,1610.9
2015,Vermont,VT,20904787,79185,66264,0,0,10862,204.2,7127,357,6180,183.7,368,6.2,3929,55.8,17410,394.2,6180,183.7,46200,866.8
2015,Virginia,VA,86843923,921760,453550,0,0,12958,230.4,156708,5221.3,12295,361.8,480,8.1,89558,994.8,25733,600.4,12295,361.8,611357,6863
2015,Washington,WA,57056090,770534,391728,0,0,3526,70.8,116254,3098.1,5866,133.6,22,0.4,76475,849.2,9414,204.8,5866,133.6,450816,4261.3
2015,West Virginia,WV,31801375,239673,178430,0,0,1671,29.9,39025,1153.3,3034,93.9,148,2.5,27273,260,4853,126.4,3034,93.9,161181,1570.8
2015,Wisconsin,WI,104749052,687112,686905,0,0,4481,79.5,72385,2994.4,23810,353.9,54,0.9,132795,1083.3,28344,434.3,23810,353.9,417201,4590.2
2015,Wyoming,WY,9851310,60252,60237,0,0,146,2.1,9133,293.5,2176,45.4,1,0,12273,108,2322,47.5,2176,45.4,47882,468.8
2016,Alabama,AL,46135610,600044,529929,0,0,92,1.2,109374,3843.4,5041,113.5,12,0.2,29155,399.4,5145,114.9,5041,113.5,341584,4362.6
2016,Alaska,AK,10411438,63425,49213,0,0,7173,112.9,6846,407.4,348,9.5,60,0.8,17806,174.5,7581,123.2,348,9.5,50843,730.9
2016,Arizona,AZ,20897424,653338,653338,0,0,6,0.1,114953,4094.4,4014,103.4,0,0,36579,536.6,4021,103.5,4014,103.4,392067,4747.6
2016,Arkansas,AR,29076801,343462,338856,0,0,75,1,60680,1764.9,3198,68.2,7,0.1,27469,303,3279,69.3,3198,68.2,213797,2151.8
2016,California,CA,178955715,3774978,3771178,0,0,439,7.4,301317,15359.8,23006,586.2,473,6.5,426390,4876,23919,600.1,23006,586.2,1367099,20919.4
2016,Colorado,CO,51454764,583409,409981,0,0,64,0.8,64261,2274,11098,219,9,0.1,128959,896.4,11171,219.9,11098,219,348562,3433.7
2016,Connecticut,CT,89299854,434957,434957,0,0,45306,727.3,43254,2536.8,6992,211.6,75,1,47327,594.4,52373,940,6992,211.6,226831,4089.6
2016,Delaware,DE,13287445,101355,90566,0,0,2050,32.7,16252,639.1,2308,61.7,78,1,10159,114.8,4436,95.4,2308,61.7,60553,851.2
2016,District of Columbia,DC,11270439,87721,87721,0,0,108,1.8,8536,307.5,5,0.1,0,0,11880,124,113,2,5,0.1,39280,433.5
2016,Florida,FL,73565998,2064399,1796409,0,0,71,1.1,420770,13545.3,5560,202.7,33,0.4,15763,311.2,5664,204.2,5560,202.7,1207392,14061.4
2016,Georgia,GA,56601990,1083988,1082547,0,0,79,1.2,197519,6659.2,8312,228.7,41,0.5,119188,1687.8,8432,230.5,8312,228.7,710185,8586.8
2016,Hawaii,HI,5585027,113015,85835,0,0,0,0,8911,717.4,691,29.2,0,0,560,20.8,691,29.2,691,29.2,32506,767.4
2016,Idaho,ID,20593616,154560,144129,0,0,739,9.8,27883,813.5,3219,69.2,1,0,26004,202.6,3959,79,3219,69.2,122926,1140.4
2016,Illinois,IL,172465888,1471574,995447,0,0,426,6.6,156918,5764.9,18300,270,100,1.4,399189,3046.3,18826,278,18300,270,924167,9101.2
2016,Indiana,IN,80493288,733638,572613,0,0,908,14.2,112685,3892.5,11136,204.3,239,3.3,129516,990.3,12283,221.8,11136,204.3,525966,5132.1
2016,Iowa,IA,58126560,356306,307585,0,0,623,9.7,48088,1682.4,15397,163.9,32,0.4,64672,497.9,16052,174,15397,163.9,228013,2364.3
2016,Kansas,KS,32854704,322302,187570,0,0,8,0.1,46094,1764.2,6406,90.4,53,0.7,55886,532.5,6467,91.3,6406,90.4,213358,2395.4
2016,Kentucky,KY,46728640,560478,410919,0,0,537,8.3,89867,2763.1,5816,112.5,171,2.3,46828,461.4,6523,123.1,5816,112.5,354576,3368.5
2016,Louisiana,LA,42244020,599077,598830,0,0,38,0.5,104578,2862,1679,41.9,1,0,32084,356.2,1718,42.4,1679,41.9,316701,3262
