State,Year,State_Year,Total_HDD,Total_CDD
CALIFORNIA,2012,CALIFORNIA 2012,827,1071.0
CALIFORNIA,2013,CALIFORNIA 2013,794,1004.0
CALIFORNIA,2014,CALIFORNIA 2014,624,1184.0
CALIFORNIA,2015,CALIFORNIA 2015,871,1193.0
CALIFORNIA,2016,CALIFORNIA 2016,765,1045.0
CALIFORNIA,2017,CALIFORNIA 2017,611,1165.0
CALIFORNIA,2018,CALIFORNIA 2018,707,1037.0
CALIFORNIA,2019,CALIFORNIA 2019,816,919.0
CALIFORNIA,2020,CALIFORNIA 2020,781,1156.0
COLORADO,1998,COLORADO 1998,2731,243
COLORADO,1999,COLORADO 1999,2615,198
COLORADO,2000,COLORADO 2000,3190,527
COLORADO,2001,COLORADO 2001,2633,536
COLORADO,2002,COLORADO 2002,2960,555
COLORADO,2003,COLORADO 2003,2839,454
COLORADO,2004,COLORADO 2004,2914,306
COLORADO,2005,COLORADO 2005,2696,467.0
COLORADO,2006,COLORADO 2006,2905,486.0
COLORADO,2007,COLORADO 2007,2713,512.0
COLORADO,2008,COLORADO 2008,2801,421.0
COLORADO,2009,COLORADO 2009,3146,329.0
COLORADO,2010,COLORADO 2010,2579,470.0
COLORADO,2011,COLORADO 2011,2814,515.0
COLORADO,2012,COLORADO 2012,2713,599.0
COLORADO,2013,COLORADO 2013,2769,565.0
COLORADO,2014,COLORADO 2014,2605,443.0
COLORADO,2015,COLORADO 2015,2537,478.0
COLORADO,2016,COLORADO 2016,2416,501.0
COLORADO,2017,COLORADO 2017,2516,480.0
COLORADO,2018,COLORADO 2018,2785,565.0
COLORADO,2019,COLORADO 2019,2788,508.0
COLORADO,2020,COLORADO 2020,2645,604.0
COLORADO	     12,1997,COLORADO	     12 1997,3044,
CONNECTICUT,1997,CONNECTICUT 1997,245,492
CONNECTICUT,1998,CONNECTICUT 1998,2136,570
CONNECTICUT,1999,CONNECTICUT 1999,2039,682
CONNECTICUT,2000,CONNECTICUT 2000,2466,474
CONNECTICUT,2001,CONNECTICUT 2001,1898,631
CONNECTICUT,2002,CONNECTICUT 2002,2275,725
CONNECTICUT,2003,CONNECTICUT 2003,2104,594
CONNECTICUT,2004,CONNECTICUT 2004,2131,522
CONNECTICUT,2005,CONNECTICUT 2005,2135,793.0
CONNECTICUT,2006,CONNECTICUT 2006,1922,649.0
CONNECTICUT,2007,CONNECTICUT 2007,2106,681.0
CONNECTICUT,2008,CONNECTICUT 2008,2302,643.0
CONNECTICUT,2009,CONNECTICUT 2009,2246,469.0
CONNECTICUT,2010,CONNECTICUT 2010,2209,878.0
CONNECTICUT,2011,CONNECTICUT 2011,1783,792.0
CONNECTICUT,2012,CONNECTICUT 2012,2016,780.0
CONNECTICUT,2013,CONNECTICUT 2013,2269,742.0
CONNECTICUT,2014,CONNECTICUT 2014,2102,563.0
CONNECTICUT,2015,CONNECTICUT 2015,1655,782.0
CONNECTICUT,2016,CONNECTICUT 2016,1884,926.0
CONNECTICUT,2017,CONNECTICUT 2017,2133,702.0
CONNECTICUT,2018,CONNECTICUT 2018,2154,867.0
CONNECTICUT,2019,CONNECTICUT 2019,2206,713.0
CONNECTICUT,2020,CONNECTICUT 2020,1927,880.0
DELAWARE,1998,DELAWARE 1998,1495,1184
DELAWARE,1999,DELAWARE 1999,1519,1149
DELAWARE,2000,DELAWARE 2000,1918,1024
DELAWARE,2001,DELAWARE 2001,1347,1198
DELAWARE,2002,DELAWARE 2002,1761,1405
DELAWARE,2003,DELAWARE 2003,1584,1125
DELAWARE,2004,DELAWARE 2004,1601,1185
DELAWARE,2005,DELAWARE 2005,1633,1328.0
DELAWARE,2006,DELAWARE 2006,1450,1236.0
DELAWARE,2007,DELAWARE 2007,1529,1347.0
DELAWARE,2008,DELAWARE 2008,1689,1200.0
DELAWARE,2009,DELAWARE 2009,1609,1133.0
DELAWARE,2010,DELAWARE 2010,1769,1605.0
DELAWARE,2011,DELAWARE 2011,1338,1525.0
DELAWARE,2012,DELAWARE 2012,1524,1501.0
DELAWARE,2013,DELAWARE 2013,1620,1351.0
DELAWARE,2014,DELAWARE 2014,1558,1143.0
DELAWARE,2015,DELAWARE 2015,1138,1368.0
DELAWARE,2016,DELAWARE 2016,1422,1547.0
DELAWARE,2017,DELAWARE 2017,1586,1365.0
DELAWARE,2018,DELAWARE 2018,1598,1534.0
DELAWARE,2019,DELAWARE 2019,1552,1546.0
DELAWARE,2020,DELAWARE 2020,1353,1412.0
DELAWARE	      8,1997,DELAWARE	      8 1997,1740,
DISTRICT OF COLUMBIA,1997,DISTRCT COLUMBIA 1997,157,1429
DISTRICT OF COLUMBIA,1998,DISTRCT COLUMBIA 1998,1248,1640
DISTRICT OF COLUMBIA,1999,DISTRCT COLUMBIA 1999,1336,1609
DISTRICT OF COLUMBIA,2000,DISTRCT COLUMBIA 2000,1808,1246
DISTRICT OF COLUMBIA,2001,DISTRCT COLUMBIA 2001,1164,1414
DISTRICT OF COLUMBIA,2002,DISTRCT COLUMBIA 2002,1647,1838
DISTRICT OF COLUMBIA,2003,DISTRCT COLUMBIA 2003,1408,1288
DISTRICT OF COLUMBIA,2004,DISTRCT COLUMBIA 2004,1400,1538
DISTRICT OF COLUMBIA,2005,DISTRCT COLUMBIA 2005,1510,1702.0
DISTRICT OF COLUMBIA,2006,DISTRCT COLUMBIA 2006,1340,1505.0
DISTRICT OF COLUMBIA,2007,DISTRCT COLUMBIA 2007,1258,1813.0
DISTRICT OF COLUMBIA,2008,DISTRCT COLUMBIA 2008,1536,1696.0
DISTRICT OF COLUMBIA,2009,DISTRCT COLUMBIA 2009,1432,1425.0
DISTRICT OF COLUMBIA,2010,DISTRCT COLUMBIA 2010,1510,2108.0
DISTRICT OF COLUMBIA,2011,DISTRCT COLUMBIA 2011,1213,1917.0
DISTRICT OF COLUMBIA,2012,DISTRCT COLUMBIA 2012,1320,1969.0
