State,Year,State_Year,Total_HDD,Total_CDD
FLORIDA	      17,1997,FLORIDA	      17 1997,268,
GEORGIA,1998,GEORGIA 1998,842,1942
GEORGIA,1999,GEORGIA 1999,1038,1716
GEORGIA,2000,GEORGIA 2000,1416,1913
GEORGIA,2001,GEORGIA 2001,926,1727
GEORGIA,2002,GEORGIA 2002,1169,2054
GEORGIA,2003,GEORGIA 2003,1092,1715
GEORGIA,2004,GEORGIA 2004,985,1933
GEORGIA,2005,GEORGIA 2005,1143,1904.0
GEORGIA,2006,GEORGIA 2006,1077,1956.0
GEORGIA,2007,GEORGIA 2007,946,1956.0
GEORGIA,2008,GEORGIA 2008,1179,1749.0
GEORGIA,2009,GEORGIA 2009,1167,1716.0
GEORGIA,2010,GEORGIA 2010,1319,2124.0
GEORGIA,2011,GEORGIA 2011,1021,2027.0
GEORGIA,2012,GEORGIA 2012,1038,1870.0
GEORGIA,2013,GEORGIA 2013,1114,1626.0
GEORGIA,2014,GEORGIA 2014,1130,1812.0
GEORGIA,2015,GEORGIA 2015,691,1951.0
GEORGIA,2016,GEORGIA 2016,824,2259.0
GEORGIA,2017,GEORGIA 2017,1035,1874.0
GEORGIA,2018,GEORGIA 2018,1076,2120.0
GEORGIA,2019,GEORGIA 2019,936,2197.0
GEORGIA,2020,GEORGIA 2020,953,1898.0
GEORGIA	      64,1997,GEORGIA	      64 1997,1293,
HAWAII,1998,HAWAII 1998,0,4207
HAWAII,1999,HAWAII 1999,0,4152
HAWAII,2000,HAWAII 2000,0,4459
HAWAII,2001,HAWAII 2001,0,4641
HAWAII,2002,HAWAII 2002,0,4557
HAWAII,2003,HAWAII 2003,0,4753
HAWAII,2004,HAWAII 2004,0,4840
HAWAII,2005,HAWAII 2005,0,4701.0
HAWAII,2006,HAWAII 2006,0,4340.0
HAWAII,2007,HAWAII 2007,0,4595.0
HAWAII,2008,HAWAII 2008,0,4580.0
HAWAII,2009,HAWAII 2009,0,4431.0
HAWAII,2010,HAWAII 2010,0,4416.0
HAWAII,2011,HAWAII 2011,0,4624.0
HAWAII,2012,HAWAII 2012,0,4299.0
HAWAII,2013,HAWAII 2013,0,4341.0
HAWAII,2014,HAWAII 2014,0,4684.0
HAWAII,2015,HAWAII 2015,0,4904.0
HAWAII,2016,HAWAII 2016,0,4654.0
HAWAII,2017,HAWAII 2017,1,4684.0
HAWAII,2018,HAWAII 2018,0,4900.0
HAWAII,2019,HAWAII 2019,0,5127.0
HAWAII,2020,HAWAII 2020,1,5066.0
HAWAII	        0,1997,HAWAII	        0 1997,0,
IDAHO,1998,IDAHO 1998,2699,538
IDAHO,1999,IDAHO 1999,2622,393
IDAHO,2000,IDAHO 2000,3027,577
IDAHO,2001,IDAHO 2001,2580,640
IDAHO,2002,IDAHO 2002,2650,580
IDAHO,2003,IDAHO 2003,2494,767
IDAHO,2004,IDAHO 2004,2616,576
IDAHO,2005,IDAHO 2005,2751,562.0
IDAHO,2006,IDAHO 2006,2814,700.0
IDAHO,2007,IDAHO 2007,2809,678.0
IDAHO,2008,IDAHO 2008,2697,503.0
IDAHO,2009,IDAHO 2009,2988,546.0
IDAHO,2010,IDAHO 2010,2670,406.0
IDAHO,2011,IDAHO 2011,2683,485.0
IDAHO,2012,IDAHO 2012,2460,631.0
IDAHO,2013,IDAHO 2013,2874,756.0
IDAHO,2014,IDAHO 2014,2429,624.0
IDAHO,2015,IDAHO 2015,2557,690.0
IDAHO,2016,IDAHO 2016,2615,555.0
IDAHO,2017,IDAHO 2017,2806,720.0
IDAHO,2018,IDAHO 2018,2771,576.0
IDAHO,2019,IDAHO 2019,2889,537.0
IDAHO,2020,IDAHO 2020,2674,566.0
IDAHO	     1189,1997,IDAHO	     1189 1997,2821,
ILLINOIS,1998,ILLINOIS 1998,1941,977
ILLINOIS,1999,ILLINOIS 1999,2185,885
ILLINOIS,2000,ILLINOIS 2000,2743,827
ILLINOIS,2001,ILLINOIS 2001,1973,922
ILLINOIS,2002,ILLINOIS 2002,2378,1109
ILLINOIS,2003,ILLINOIS 2003,2187,799
ILLINOIS,2004,ILLINOIS 2004,2208,675
ILLINOIS,2005,ILLINOIS 2005,2333,1152.0
ILLINOIS,2006,ILLINOIS 2006,2269,927.0
ILLINOIS,2007,ILLINOIS 2007,2264,1074.0
ILLINOIS,2008,ILLINOIS 2008,2583,770.0
ILLINOIS,2009,ILLINOIS 2009,2440,598.0
ILLINOIS,2010,ILLINOIS 2010,2452,1148.0
ILLINOIS,2011,ILLINOIS 2011,2106,1064.0
ILLINOIS,2012,ILLINOIS 2012,2282,1211.0
ILLINOIS,2013,ILLINOIS 2013,2639,901.0
ILLINOIS,2014,ILLINOIS 2014,2534,805.0
ILLINOIS,2015,ILLINOIS 2015,1839,843.0
ILLINOIS,2016,ILLINOIS 2016,2017,1183.0
ILLINOIS,2017,ILLINOIS 2017,2311,873.0
ILLINOIS,2018,ILLINOIS 2018,2427,1149.0
ILLINOIS,2019,ILLINOIS 2019,2329,959.0
ILLINOIS,2020,ILLINOIS 2020,2171,1000.0
ILLINOIS	     10,1997,ILLINOIS	     10 1997,2439,
INDIANA,1998,INDIANA 1998,1904,1003
INDIANA,1999,INDIANA 1999,1948,955
INDIANA,2000,INDIANA 2000,2545,770
INDIANA,2001,INDIANA 2001,1848,840
INDIANA,2002,INDIANA 2002,2255,1145
INDIANA,2003,INDIANA 2003,2028,689
INDIANA,2004,INDIANA 2004,2030,729
INDIANA,2005,INDIANA 2005,2189,1058.0
INDIANA,2006,INDIANA 2006,2061,830.0
INDIANA,2007,INDIANA 2007,2007,1182.0
INDIANA,2008,INDIANA 2008,2345,817.0
INDIANA,2009,INDIANA 2009,2265,707.0
INDIANA,2010,INDIANA 2010,2336,1216.0
INDIANA,2011,INDIANA 2011,1950,1084.0
INDIANA,2012,INDIANA 2012,2182,1161.0
INDIANA,2013,INDIANA 2013,2388,923.0
INDIANA,2014,INDIANA 2014,2353,829.0
INDIANA,2015,INDIANA 2015,1685,899.0
INDIANA,2016,INDIANA 2016,1893,1180.0
INDIANA,2017,INDIANA 2017,2200,870.0
INDIANA,2018,INDIANA 2018,2219,1218.0
INDIANA,2019,INDIANA 2019,2118,1070.0
INDIANA,2020,INDIANA 2020,2033,966.0
INDIANA	     103,1997,INDIANA	     103 1997,2415,
IOWA,1998,IOWA 1998,2245,891
IOWA,1999,IOWA 1999,2384,791
IOWA,2000,IOWA 2000,3081,808
IOWA,2001,IOWA 2001,2221,843
IOWA,2002,IOWA 2002,2695,976
IOWA,2003,IOWA 2003,2527,818
IOWA,2004,IOWA 2004,2452,626
IOWA,2005,IOWA 2005,2562,1066.0
IOWA,2006,IOWA 2006,2587,955.0
IOWA,2007,IOWA 2007,2684,1012.0
IOWA,2008,IOWA 2008,2942,715.0
IOWA,2009,IOWA 2009,2891,618.0
IOWA,2010,IOWA 2010,2772,978.0
IOWA,2011,IOWA 2011,2528,974.0
IOWA,2012,IOWA 2012,2663,1100.0
IOWA,2013,IOWA 2013,3060,910.0
IOWA,2014,IOWA 2014,2902,740.0
IOWA,2015,IOWA 2015,2229,822.0
IOWA,2016,IOWA 2016,2303,975.0
IOWA,2017,IOWA 2017,2663,867.0
IOWA,2018,IOWA 2018,2860,1051.0
IOWA,2019,IOWA 2019,2749,908.0
IOWA,2020,IOWA 2020,2652,953.0
IOWA		     1145,1997,IOWA		     1145 1997,2710,
KANSAS,1998,KANSAS 1998,1601,1789
KANSAS,1999,KANSAS 1999,1623,1378
KANSAS,2000,KANSAS 2000,2359,1742
KANSAS,2001,KANSAS 2001,1598,1614
KANSAS,2002,KANSAS 2002,2015,1641
KANSAS,2003,KANSAS 2003,1832,1458
KANSAS,2004,KANSAS 2004,1690,1293
KANSAS,2005,KANSAS 2005,1850,1656.0
KANSAS,2006,KANSAS 2006,1920,1689.0
KANSAS,2007,KANSAS 2007,1993,1494.0
KANSAS,2008,KANSAS 2008,2123,1187.0
KANSAS,2009,KANSAS 2009,2255,1060.0
KANSAS,2010,KANSAS 2010,1925,1592.0
KANSAS,2011,KANSAS 2011,1925,1754.0
KANSAS,2012,KANSAS 2012,1900,1732.0
KANSAS,2013,KANSAS 2013,2207,1409.0
KANSAS,2014,KANSAS 2014,2043,1349.0
KANSAS,2015,KANSAS 2015,1598,1450.0
KANSAS,2016,KANSAS 2016,1672,1580.0
KANSAS,2017,KANSAS 2017,1859,1376.0
KANSAS,2018,KANSAS 2018,2124,1637.0
KANSAS,2019,KANSAS 2019,2004,1474.0
KANSAS,2020,KANSAS 2020,1921,1370.0
KANSAS	      973,1997,KANSAS	      973 1997,2026,
KENTUCKY,1998,KENTUCKY 1998,1483,1355
KENTUCKY,1999,KENTUCKY 1999,1531,1232
KENTUCKY,2000,KENTUCKY 2000,2072,1201
KENTUCKY,2001,KENTUCKY 2001,1462,1247
KENTUCKY,2002,KENTUCKY 2002,1795,1517
KENTUCKY,2003,KENTUCKY 2003,1599,1067
KENTUCKY,2004,KENTUCKY 2004,1516,1156
KENTUCKY,2005,KENTUCKY 2005,1737,1454.0
KENTUCKY,2006,KENTUCKY 2006,1620,1263.0
KENTUCKY,2007,KENTUCKY 2007,1476,1633.0
KENTUCKY,2008,KENTUCKY 2008,1814,1245.0
KENTUCKY,2009,KENTUCKY 2009,1778,1100.0
KENTUCKY,2010,KENTUCKY 2010,1888,1589.0
KENTUCKY,2011,KENTUCKY 2011,1535,1393.0
KENTUCKY,2012,KENTUCKY 2012,1696,1449.0
KENTUCKY,2013,KENTUCKY 2013,1812,1219.0
KENTUCKY,2014,KENTUCKY 2014,1817,1205.0
KENTUCKY,2015,KENTUCKY 2015,1175,1297.0
KENTUCKY,2016,KENTUCKY 2016,1423,1614.0
KENTUCKY,2017,KENTUCKY 2017,1677,1282.0
KENTUCKY,2018,KENTUCKY 2018,1723,1678.0
KENTUCKY,2019,KENTUCKY 2019,1611,1551.0
KENTUCKY,2020,KENTUCKY 2020,1556,1305.0
KENTUCKY	      9,1997,KENTUCKY	      9 1997,1885,
LOUISIANA,1997,LOUISIANA 1997,860,2401
LOUISIANA,1998,LOUISIANA 1998,534,2932
LOUISIANA,1999,LOUISIANA 1999,671,2636
LOUISIANA,2000,LOUISIANA 2000,963,2933
LOUISIANA,2001,LOUISIANA 2001,600,2655
LOUISIANA,2002,LOUISIANA 2002,704,2847
LOUISIANA,2003,LOUISIANA 2003,626,2752
LOUISIANA,2004,LOUISIANA 2004,613,2855
LOUISIANA,2005,LOUISIANA 2005,687,2991.0
LOUISIANA,2006,LOUISIANA 2006,706,2955.0
LOUISIANA,2007,LOUISIANA 2007,580,2762.0
LOUISIANA,2008,LOUISIANA 2008,715,2574.0
LOUISIANA,2009,LOUISIANA 2009,783,2701.0
LOUISIANA,2010,LOUISIANA 2010,770,2938.0
LOUISIANA,2011,LOUISIANA 2011,673,3020.0
LOUISIANA,2012,LOUISIANA 2012,636,2889.0
LOUISIANA,2013,LOUISIANA 2013,783,2683.0
LOUISIANA,2014,LOUISIANA 2014,704,2577.0
LOUISIANA,2015,LOUISIANA 2015,384,3023.0
LOUISIANA,2016,LOUISIANA 2016,468,3055.0
LOUISIANA,2017,LOUISIANA 2017,657,2917.0
LOUISIANA,2018,LOUISIANA 2018,681,2944.0
LOUISIANA,2019,LOUISIANA 2019,678,2974.0
LOUISIANA,2020,LOUISIANA 2020,612,2819.0
MAINE,1998,MAINE 1998,2872,215
MAINE,1999,MAINE 1999,2790,342
MAINE,2000,MAINE 2000,2974,144
MAINE,2001,MAINE 2001,2534,279
MAINE,2002,MAINE 2002,2938,295
MAINE,2003,MAINE 2003,2686,250
MAINE,2004,MAINE 2004,2829,150
MAINE,2005,MAINE 2005,2665,307.0
MAINE,2006,MAINE 2006,2687,282.0
MAINE,2007,MAINE 2007,3079,221.0
MAINE,2008,MAINE 2008,3058,205.0
MAINE,2009,MAINE 2009,3096,204.0
MAINE,2010,MAINE 2010,2856,349.0
MAINE,2011,MAINE 2011,2547,267.0
MAINE,2012,MAINE 2012,2771,314.0
MAINE,2013,MAINE 2013,3087,306.0
MAINE,2014,MAINE 2014,2759,257.0
MAINE,2015,MAINE 2015,2524,313.0
MAINE,2016,MAINE 2016,2652,350.0
MAINE,2017,MAINE 2017,2833,274.0
